Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 4, 1, -0.0234, 0.7422, 0, 0.1252, 6, 8, 
1, 4, 2, 0.2949, 0.7285, 0, 0.1252, 9, 10, 
1, 4, 3, 0.3008, 0.6777, 0, 0.1252, 5, 8, 
1, 4, 4, -0.0254, 0.7852, 0, 0.1252, 8, 10, 
2, 8, 1, 0, 0.7422, 0, 0.1252, 6, 8, 
2, 8, 2, -0.0488, 0.7832, 0, 0.1252, 7, 9, 
2, 8, 3, 0.5723, 1.7402, 0, -0.3757, 25, 14, 
2, 8, 4, 0.5859, 1.7813, 0, -0.3757, 29, 15, 
2, 8, 5, 0.5723, 1.7402, 0, -0.2504, 27, 14, 
2, 8, 6, 0.5859, 1.7813, 0, -0.2504, 32, 15, 
2, 8, 7, 0.2773, 0.6875, 0, 0.1252, 4, 7, 
2, 8, 8, 0.2949, 0.7285, 0, 0.1252, 7, 9, 
3, 11, 1, 0.5039, 1.7168, 0, -0.3757, 27, 14, 
3, 11, 2, 0.5723, 1.7402, 0, -0.3757, 40, 16, 
3, 11, 3, 0.5859, 1.7813, 0, -0.3757, 30, 15, 
3, 11, 4, 0.3184, 1.6719, 0, -0.2504, 28, 15, 
3, 11, 5, 0.3281, 1.7148, 0, -0.2504, 26, 14, 
3, 11, 6, 0.5586, 1.6992, 0, -0.2504, 28, 15, 
3, 11, 7, 0.6309, 1.7207, 0, -0.2504, 37, 16, 
3, 11, 8, 0.6445, 1.7617, 0, -0.2504, 25, 14, 
3, 11, 9, 0.2656, 1.6797, 0, -0.1252, 19, 13, 
3, 11, 10, -0.1172, 1.873, 0, -0.3757, 27, 14, 
3, 11, 11, -0.1172, 1.873, 0, -0.2504, 23, 14, 
4, 10, 1, 0, 1.832, 0, -0.5009, 16, 12, 
4, 10, 2, -0.0586, 1.875, 0, -0.5009, 17, 13, 
4, 10, 3, 0.4355, 1.6895, 0, -0.3757, 21, 13, 
4, 10, 4, 0.5586, 1.6992, 0, -0.3757, 37, 16, 
4, 10, 5, 0.6875, 1.6992, 0, -0.3757, 36, 16, 
4, 10, 6, -0.0586, 1.875, 0, -0.3757, 30, 15, 
4, 10, 7, 0.6152, 1.6797, 0, -0.2504, 37, 16, 
4, 10, 8, 0.6875, 1.6992, 0, -0.2504, 35, 16, 
4, 10, 9, -0.0566, 1.832, 0, -0.3757, 33, 15, 
4, 10, 10, 0, 1.832, 0, -0.2504, 27, 14, 
5, 15, 1, 0.2598, 1.6367, 0, 0, 19, 13, 
5, 15, 2, 0.5449, 1.6582, 0, 0, 16, 12, 
5, 15, 3, 0.5586, 1.6992, 0, 0, 20, 13, 
5, 15, 4, -0.2227, 1.7754, 0, -0.3757, 21, 13, 
5, 15, 5, -0.2285, 1.8184, 0, -0.3757, 29, 15, 
5, 15, 6, -0.1758, 1.8672, 0, -0.3757, 17, 13, 
5, 15, 7, -0.168, 1.7813, 0, -0.2504, 48, 17, 
5, 15, 8, -0.1719, 1.8242, 0, -0.2504, 63, 18, 
5, 15, 9, -0.1172, 1.873, 0, -0.2504, 36, 16, 
5, 15, 10, 0.4902, 1.6738, 0, -0.1252, 32, 15, 
5, 15, 11, 0.5039, 1.7168, 0, -0.1252, 47, 17, 
5, 15, 12, -0.2285, 1.8184, 0, -0.1252, 40, 16, 
5, 15, 13, 0.5039, 1.7168, 0, -0.2504, 37, 16, 
5, 15, 14, -0.2227, 1.7754, 0, -0.1252, 34, 15, 
5, 15, 15, 0.5156, 1.7578, 0, -0.1252, 33, 15, 
