Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 2, 1, 0.0527, 0.5645, 0, -0.1252, 7, 9, 
1, 2, 2, -0.1602, 0.5449, 0, -0.1252, 6, 8, 
2, 17, 1, -1.9297, 1.7031, 0, 0, 18, 13, 
2, 17, 2, -1.9629, 1.7324, 0, 0, 25, 14, 
2, 17, 3, -1.9961, 1.7598, 0, 0, 19, 13, 
2, 17, 4, -2.1133, 1.6895, 0, 0, 13, 11, 
2, 17, 5, -0.1602, 0.5449, 0, 0.1252, 6, 8, 
2, 17, 6, -1.9297, 1.7031, 0, -0.2504, 14, 12, 
2, 17, 7, -1.8809, 1.8203, 0, -0.2504, 20, 13, 
2, 17, 8, -1.9121, 1.8496, 0, -0.2504, 17, 13, 
2, 17, 9, -1.9434, 1.8809, 0, -0.2504, 13, 11, 
2, 17, 10, 0.0527, 0.5645, 0, -0.1252, 7, 9, 
2, 17, 11, -1.9297, 1.7031, 0, -0.1252, 35, 16, 
2, 17, 12, -1.9629, 1.7324, 0, -0.1252, 48, 17, 
2, 17, 13, -1.9961, 1.7598, 0, -0.1252, 42, 16, 
2, 17, 14, -2.0293, 1.7891, 0, -0.1252, 32, 15, 
2, 17, 15, -2.1465, 1.7148, 0, -0.1252, 14, 12, 
2, 17, 16, 0.0352, 0.5664, 0, 0.1252, 6, 8, 
2, 17, 17, -0.1426, 0.5488, 0, -0.1252, 5, 8, 
3, 21, 1, -1.8984, 1.6738, 0, 0, 25, 14, 
3, 21, 2, -1.9297, 1.7031, 0, 0, 57, 18, 
3, 21, 3, -1.8809, 1.8203, 0, 0, 77, 19, 
3, 21, 4, -1.9121, 1.8496, 0, 0, 80, 19, 
3, 21, 5, -2.0293, 1.7891, 0, 0, 66, 18, 
3, 21, 6, -2.0605, 1.8184, 0, 0, 30, 15, 
3, 21, 7, -1.9629, 1.7324, 0, 0.1252, 16, 12, 
3, 21, 8, -1.9961, 1.7598, 0, 0.1252, 26, 14, 
3, 21, 9, -1.9434, 1.8809, 0, 0.1252, 16, 12, 
3, 21, 10, -1.8984, 1.6738, 0, -0.2504, 24, 14, 
3, 21, 11, -1.8496, 1.7891, 0, -0.2504, 53, 17, 
3, 21, 12, -1.7988, 1.9004, 0, -0.2504, 70, 19, 
3, 21, 13, -1.8301, 1.9336, 0, -0.2504, 72, 19, 
3, 21, 14, -1.9434, 1.8809, 0, -0.2504, 61, 18, 
3, 21, 15, -1.9746, 1.9102, 0, -0.2504, 28, 15, 
3, 21, 16, -1.9766, 1.5801, 0, -0.1252, 48, 17, 
3, 21, 17, -1.9297, 1.7031, 0, -0.1252, 110, 20, 
3, 21, 18, -1.9629, 1.7324, 0, -0.1252, 156, 22, 
3, 21, 19, -1.9961, 1.7598, 0, -0.1252, 161, 22, 
3, 21, 20, -2.0293, 1.7891, 0, -0.1252, 122, 21, 
3, 21, 21, -2.0605, 1.8184, 0, -0.1252, 52, 17, 
4, 23, 1, -1.8984, 1.6738, 0, 0, 19, 13, 
4, 23, 2, -1.8496, 1.7891, 0, 0, 25, 14, 
4, 23, 3, -1.7988, 1.9004, 0, 0, 28, 15, 
4, 23, 4, -1.9121, 1.8496, 0, 0, 54, 17, 
4, 23, 5, -1.9434, 1.8809, 0, 0, 41, 16, 
4, 23, 6, -1.8906, 1.9961, 0, 0, 17, 13, 
4, 23, 7, -0.1152, 0.5117, 0, 0.1252, 5, 8, 
4, 23, 8, -0.1426, 0.5488, 0, 0.1252, 8, 10, 
4, 23, 9, -0.1523, 0.5918, 0, 0.1252, 6, 8, 
4, 23, 10, -1.8184, 1.7598, 0, -0.2504, 17, 13, 
4, 23, 11, -1.8496, 1.7891, 0, -0.2504, 21, 13, 
4, 23, 12, -1.7187, 1.9746, 0, -0.2504, 21, 13, 
4, 23, 13, -1.8301, 1.9336, 0, -0.2504, 43, 16, 
4, 23, 14, -1.8594, 1.9648, 0, -0.2504, 32, 15, 
4, 23, 15, -1.8984, 1.6738, 0, -0.1252, 39, 16, 
4, 23, 16, -1.9297, 1.7031, 0, -0.1252, 50, 17, 
4, 23, 17, -1.7988, 1.9004, 0, -0.1252, 54, 17, 
4, 23, 18, -1.9121, 1.8496, 0, -0.1252, 104, 20, 
4, 23, 19, -1.9434, 1.8809, 0, -0.1252, 81, 19, 
4, 23, 20, -1.9746, 1.9102, 0, -0.1252, 33, 15, 
4, 23, 21, -0.3281, 0.4082, 0, 0.1252, 4, 7, 
4, 23, 22, 0.0527, 0.5645, 0, 0.1252, 7, 9, 
4, 23, 23, -0.3809, 0.4766, 0, 0.1252, 5, 8, 
5, 29, 1, -1.9434, 1.5527, 0, 0, 17, 13, 
5, 29, 2, -1.9766, 1.5801, 0, 0, 67, 18, 
5, 29, 3, -2.0117, 1.6074, 0, 0, 87, 19, 
5, 29, 4, -2.0449, 1.6348, 0, 0, 33, 15, 
5, 29, 5, -0.748, 2.5547, 0, 0, 14, 12, 
