Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 6, 1, 0.8926, 4.6719, 0, -0.2504, 23, 14, 
1, 6, 2, 0.9004, 4.7148, 0, -0.2504, 30, 15, 
1, 6, 3, 0.1641, 2.6133, 0, -0.1252, 16, 12, 
1, 6, 4, 0.084, 2.6602, 0, -0.1252, 16, 12, 
1, 6, 5, -2.5352, 0.6484, 0, -0.1252, 11, 11, 
1, 6, 6, -2.4941, 0.9258, 0, -0.1252, 12, 11, 
2, 2, 1, 0.5566, 0.4902, 0, 0.2504, 21, 13, 
2, 2, 2, 0.416, 2.6289, 0, 0.2504, 28, 15, 
3, 17, 1, 0.3672, 0.2344, 0, 0, 75, 19, 
3, 17, 2, 0.3906, 0.2793, 0, 0, 153, 22, 
3, 17, 3, 0.4258, 0.3047, 0, 0, 130, 21, 
3, 17, 4, 0.4609, 0.3301, 0, 0, 42, 16, 
3, 17, 5, 0.5527, 2.4688, 0, -0.7513, 22, 14, 
3, 17, 6, 0.5625, 2.5117, 0, -0.7513, 32, 15, 
3, 17, 7, 0.4746, 2.4863, 0, -0.6261, 30, 15, 
3, 17, 8, 0.4824, 2.5293, 0, -0.6261, 39, 16, 
3, 17, 9, 0.4043, 0.2578, 0, -0.2504, 164, 22, 
3, 17, 10, 0.4414, 0.2813, 0, -0.2504, 151, 22, 
3, 17, 11, 0.4785, 0.3047, 0, -0.2504, 49, 17, 
3, 17, 12, 0.3418, 0.2715, 0, -0.1252, 120, 21, 
3, 17, 13, 0.3906, 0.2793, 0, -0.1252, 270, 24, 
3, 17, 14, 0.4258, 0.3047, 0, -0.1252, 246, 24, 
3, 17, 15, 0.4609, 0.3301, 0, -0.1252, 82, 19, 
3, 17, 16, 1.7402, 1.8379, 0, -0.7513, 17, 13, 
3, 17, 17, -2.4512, 0.627, 0, -0.6261, 22, 14, 
4, 9, 1, 0.5098, 0.5391, 0, 0.8766, 31, 15, 
4, 9, 2, 0.5898, 0.5195, 0, 0.8766, 40, 16, 
4, 9, 3, 0.6484, 0.5176, 0, 0.8766, 21, 13, 
4, 9, 4, 0.3711, 0.6426, 0, -1.0018, 28, 15, 
4, 9, 5, 0.418, 0.666, 0, -1.0018, 36, 16, 
4, 9, 6, 0.7773, 0.2891, 0, -1.0018, 18, 13, 
4, 9, 7, 0.6484, 0.3594, 0, -1.0018, 26, 14, 
4, 9, 8, 0.7109, 0.332, 0, -1.0018, 34, 15, 
4, 9, 9, 0.4668, 0.6855, 0, -1.0018, 17, 13, 
5, 39, 1, 0.3672, 0.2344, 0, 0, 127, 21, 
5, 39, 2, 0.4043, 0.2578, 0, 0, 317, 25, 
5, 39, 3, 0.4414, 0.2813, 0, 0, 279, 24, 
5, 39, 4, 0.4785, 0.3047, 0, 0, 83, 19, 
5, 39, 5, -9.0195, 5.7363, 0, 0, 8, 10, 
5, 39, 6, 0.3672, 0.2344, 0, 0.1252, 244, 24, 
5, 39, 7, 0.4043, 0.2578, 0, 0.1252, 599, 28, 
5, 39, 8, 0.4414, 0.2813, 0, 0.1252, 537, 27, 
5, 39, 9, 0.4785, 0.3047, 0, 0.1252, 171, 22, 
5, 39, 10, 2.0898, 2.4023, 0, 0.1252, 48, 17, 
5, 39, 11, 0.3672, 0.2344, 0, 0.2504, 168, 22, 
5, 39, 12, 0.4043, 0.2578, 0, 0.2504, 392, 26, 
5, 39, 13, 0.4414, 0.2813, 0, 0.2504, 334, 25, 
5, 39, 14, 0.4785, 0.3047, 0, 0.2504, 102, 20, 
5, 39, 15, 0.502, 0.4844, 0, -1.0018, 82, 19, 
5, 39, 16, 0.5332, 0.5156, 0, -1.0018, 264, 24, 
5, 39, 17, 0.5645, 0.5469, 0, -1.0018, 298, 25, 
5, 39, 18, 0.5957, 0.5762, 0, -1.0018, 112, 21, 
5, 39, 19, 0.7637, 0.4219, 0, -1.0018, 30, 15, 
5, 39, 20, 0.4805, 0.5078, 0, -0.8766, 94, 20, 
5, 39, 21, 0.5098, 0.5391, 0, -0.8766, 322, 25, 
5, 39, 22, 0.5391, 0.5703, 0, -0.8766, 381, 26, 
5, 39, 23, 0.5703, 0.6016, 0, -0.8766, 165, 22, 
5, 39, 24, 0.5449, 0.6816, 0, -0.8766, 20, 13, 
5, 39, 25, 0.5234, 0.4609, 0, -0.7513, 48, 17, 
5, 39, 26, 0.5332, 0.5156, 0, -0.7513, 195, 23, 
5, 39, 27, 0.5391, 0.5703, 0, -0.7513, 264, 24, 
5, 39, 28, 0.5703, 0.6016, 0, -0.7513, 134, 21, 
5, 39, 29, 0.5996, 0.6328, 0, -0.7513, 20, 13, 
5, 39, 30, 0.3672, 0.2344, 0, -0.2504, 37, 16, 
5, 39, 31, 0.4043, 0.2578, 0, -0.2504, 78, 19, 
5, 39, 32, 0.4414, 0.2813, 0, -0.2504, 63, 18, 
5, 39, 33, 0.3535, 0.2539, 0, -0.1252, 98, 20, 
5, 39, 34, 0.3906, 0.2793, 0, -0.1252, 210, 23, 
5, 39, 35, 0.4258, 0.3047, 0, -0.1252, 168, 22, 
5, 39, 36, 0.4609, 0.3301, 0, -0.1252, 48, 17, 
5, 39, 37, -9.3145, 5.1543, 0, -0.1252, 12, 11, 
5, 39, 38, -9.3535, 5.1738, 0, -0.1252, 14, 12, 
5, 39, 39, 0.4355, 0.7559, 0, -1.0018, 26, 14, 
6, 46, 1, 0.3535, 0.2539, 0, 0, 52, 17, 
6, 46, 2, 0.3906, 0.2793, 0, 0, 160, 22, 
6, 46, 3, 0.4258, 0.3047, 0, 0, 176, 22, 
6, 46, 4, 0.4609, 0.3301, 0, 0, 71, 19, 
6, 46, 5, 0.8145, 0.5859, 0, 0, 94, 20, 
6, 46, 6, 0.8516, 0.6113, 0, 0, 63, 18, 
6, 46, 7, 0.3535, 0.2539, 0, 0.1252, 112, 21, 
6, 46, 8, 0.375, 0.2988, 0, 0.1252, 312, 25, 
6, 46, 9, 0.4082, 0.3262, 0, 0.1252, 332, 25, 
6, 46, 10, 0.4434, 0.3535, 0, 0.1252, 133, 21, 
6, 46, 11, 0.3418, 0.2715, 0, 0.2504, 56, 18, 
6, 46, 12, 0.375, 0.2988, 0, 0.2504, 166, 22, 
6, 46, 13, 0.4082, 0.3262, 0, 0.2504, 184, 23, 
6, 46, 14, 0.4434, 0.3535, 0, 0.2504, 75, 19, 
6, 46, 15, 0.7207, 0.7598, 0, 0.2504, 109, 20, 
6, 46, 16, 0.3418, 1.0352, 0, 0.2504, 88, 19, 
6, 46, 17, 0.6602, 0.6973, 0, 0.5009, 45, 17, 
6, 46, 18, 0.6895, 0.7285, 0, 0.5009, 238, 24, 
6, 46, 19, 0.6875, 0.791, 0, 0.5009, 388, 26, 
6, 46, 20, 0.7148, 0.8223, 0, 0.5009, 237, 24, 
6, 46, 21, 0.2832, 1.0977, 0, 0.5009, 45, 17, 
6, 46, 22, 0.627, 0.7832, 0, 0.7513, 52, 17, 
6, 46, 23, 0.6543, 0.8184, 0, 0.7513, 118, 21, 
6, 46, 24, 0.6816, 0.8516, 0, 0.7513, 111, 20, 
6, 46, 25, 0.709, 0.8848, 0, 0.7513, 39, 16, 
6, 46, 26, 1.5, 4.0977, 0, 0.7513, 17, 13, 
6, 46, 27, 0.75, 0.5996, 0, -0.1252, 141, 22, 
6, 46, 28, 0.7832, 0.627, 0, -0.1252, 278, 24, 
6, 46, 29, 0.8184, 0.6543, 0, -0.1252, 202, 23, 
6, 46, 30, 0.8516, 0.6816, 0, -0.1252, 54, 17, 
6, 46, 31, 0.6328, 2.4492, 0, -0.1252, 41, 16, 
6, 46, 32, 0.4395, 0.9023, 0, 0, 67, 18, 
6, 46, 33, 0.459, 0.9414, 0, 0, 45, 17, 
6, 46, 34, 0.3281, 0.9941, 0, 0.2504, 105, 20, 
6, 46, 35, 0.75, 0.793, 0, 0.2504, 86, 19, 
6, 46, 36, 0.3008, 0.9121, 0, 0.5009, 41, 16, 
6, 46, 37, 0.3145, 0.9531, 0, 0.5009, 206, 23, 
6, 46, 38, 0.3281, 0.9941, 0, 0.5009, 336, 25, 
6, 46, 39, 0.3066, 1.0469, 0, 0.5009, 213, 23, 
6, 46, 40, 0.709, 0.8848, 0, 0.5009, 45, 17, 
6, 46, 41, 0.25, 0.9707, 0, 0.7513, 38, 16, 
6, 46, 42, 0.2617, 1.0137, 0, 0.7513, 94, 20, 
6, 46, 43, 0.2734, 1.0566, 0, 0.7513, 89, 20, 
6, 46, 44, 0.2832, 1.0977, 0, 0.7513, 31, 15, 
6, 46, 45, -0.1367, 4.3613, 0, 0.7513, 14, 12, 
6, 46, 46, 1.502, 2.0371, 0, -0.1252, 35, 16, 
7, 56, 1, 0.4199, 0.2324, 0, 0, 19, 13, 
7, 56, 2, 0.4434, 0.9961, 0, 0, 179, 23, 
7, 56, 3, 0.4609, 1.0371, 0, 0, 360, 26, 
7, 56, 4, 0.4414, 1.0918, 0, 0, 260, 24, 
7, 56, 5, 0.459, 1.1328, 0, 0, 72, 19, 
7, 56, 6, 0.6328, 2.4492, 0, 0, 49, 17, 
7, 56, 7, 0.3809, 0.2109, 0, 0.2504, 89, 20, 
7, 56, 8, 0.4043, 0.2578, 0, 0.2504, 136, 21, 
7, 56, 9, 0.4414, 0.2813, 0, 0.2504, 77, 19, 
7, 56, 10, 0.5234, 0.9063, 0, 0.2504, 389, 26, 
7, 56, 11, 0.5449, 0.9453, 0, 0.2504, 542, 27, 
7, 56, 12, 0.5664, 0.9824, 0, 0.2504, 301, 25, 
7, 56, 13, 0.7363, 0.9199, 0, 0.2504, 113, 21, 
7, 56, 14, 0.8008, 0.9219, 0, 0.2504, 62, 18, 
7, 56, 15, 0.3438, 0.1895, 0, 0.3757, 32, 15, 
7, 56, 16, 0.3672, 0.2344, 0, 0.3757, 158, 22, 
7, 56, 17, 0.4043, 0.2578, 0, 0.3757, 248, 24, 
7, 56, 18, 0.4414, 0.2813, 0, 0.3757, 148, 22, 
7, 56, 19, 0.4707, 0.8867, 0, 0.3757, 152, 22, 
7, 56, 20, 0.4902, 0.9258, 0, 0.3757, 668, 28, 
7, 56, 21, 0.5117, 0.9629, 0, 0.3757, 939, 30, 
7, 56, 22, 0.5313, 1.002, 0, 0.3757, 500, 27, 
7, 56, 23, 0.625, 0.998, 0, 0.3757, 102, 20, 
7, 56, 24, 0.3672, 0.2344, 0, 0.5009, 85, 19, 
7, 56, 25, 0.3906, 0.2793, 0, 0.5009, 141, 22, 
7, 56, 26, 0.4258, 0.3047, 0, 0.5009, 92, 20, 
7, 56, 27, 0.4707, 0.8867, 0, 0.5009, 95, 20, 
7, 56, 28, 0.4902, 0.9258, 0, 0.5009, 397, 26, 
7, 56, 29, 0.5117, 0.9629, 0, 0.5009, 555, 27, 
7, 56, 30, 0.5313, 1.002, 0, 0.5009, 298, 25, 
7, 56, 31, 0.5898, 1.0195, 0, 0.5009, 54, 17, 
7, 56, 32, 0.4785, 1.0762, 0, -0.5009, 109, 20, 
7, 56, 33, 0.4961, 1.1172, 0, -0.5009, 91, 20, 
7, 56, 34, 0.873, 1.0898, 0, -0.5009, 48, 17, 
7, 56, 35, 0.3594, 1.3945, 0, -0.5009, 54, 17, 
7, 56, 36, 0.4434, 0.9961, 0, -0.3757, 89, 20, 
7, 56, 37, 0.4258, 1.0508, 0, -0.3757, 298, 25, 
7, 56, 38, 0.4414, 1.0918, 0, -0.3757, 430, 26, 
7, 56, 39, 0.459, 1.1328, 0, -0.3757, 251, 24, 
7, 56, 40, 0.4355, 1.1875, 0, -0.3757, 58, 18, 
7, 56, 41, 0.7852, 1.1543, 0, -0.3757, 105, 20, 
7, 56, 42, 0.8555, 1.1582, 0, -0.3757, 105, 20, 
7, 56, 43, 0.4766, 0.9805, 0, -0.2504, 346, 25, 
7, 56, 44, 0.4609, 1.0371, 0, -0.2504, 701, 28, 
7, 56, 45, 0.4414, 1.0918, 0, -0.2504, 636, 28, 
7, 56, 46, 0.459, 1.1328, 0, -0.2504, 270, 24, 
7, 56, 47, 0.4258, 0.957, 0, -0.1252, 65, 18, 
7, 56, 48, 0.4434, 0.9961, 0, -0.1252, 425, 26, 
7, 56, 49, 0.4258, 1.0508, 0, -0.1252, 786, 29, 
7, 56, 50, 0.4414, 1.0918, 0, -0.1252, 559, 27, 
7, 56, 51, 0.4199, 1.1465, 0, -0.1252, 147, 22, 
7, 56, 52, 0.6328, 2.4492, 0, -0.1252, 98, 20, 
7, 56, 53, 0.3496, 1.3516, 0, -0.5009, 45, 17, 
7, 56, 54, 0.9004, 1.123, 0, -0.5009, 52, 17, 
7, 56, 55, -0.916, 1.0527, 0, -0.3757, 75, 19, 
7, 56, 56, 0.3145, 1.4043, 0, -0.3757, 81, 19, 
8, 34, 1, 0.4746, 0.2207, 0, 0, 19, 13, 
8, 34, 2, 0.5137, 0.2402, 0, 0, 35, 16, 
8, 34, 3, 0.5527, 0.2578, 0, 0, 23, 14, 
8, 34, 4, 0.4434, 0.9961, 0, 0, 83, 19, 
8, 34, 5, 0.4961, 1.0195, 0, 0, 281, 25, 
8, 34, 6, 0.5156, 1.0586, 0, 0, 321, 25, 
8, 34, 7, 0.5352, 1.0977, 0, 0, 130, 21, 
8, 34, 8, 0.4746, 0.2207, 0, 0.1252, 30, 15, 
8, 34, 9, 0.5137, 0.2402, 0, 0.1252, 57, 18, 
8, 34, 10, 0.5527, 0.2578, 0, 0.1252, 37, 16, 
8, 34, 11, 0.4434, 0.9961, 0, 0.1252, 223, 24, 
8, 34, 12, 0.4609, 1.0371, 0, 0.1252, 724, 29, 
8, 34, 13, 0.4785, 1.0762, 0, 0.1252, 802, 29, 
8, 34, 14, 0.4961, 1.1172, 0, 0.1252, 318, 25, 
8, 34, 15, 0.459, 0.2539, 0, 0.2504, 24, 14, 
8, 34, 16, 0.4961, 0.2754, 0, 0.2504, 48, 17, 
8, 34, 17, 0.3047, 0.5293, 0, 0.2504, 34, 15, 
8, 34, 18, 0.4434, 0.9961, 0, 0.2504, 194, 23, 
8, 34, 19, 0.4609, 1.0371, 0, 0.2504, 629, 28, 
8, 34, 20, 0.4785, 1.0762, 0, 0.2504, 687, 28, 
8, 34, 21, 0.4961, 1.1172, 0, 0.2504, 264, 24, 
8, 34, 22, 0.3008, 0.4805, 0, -0.8766, 47, 17, 
8, 34, 23, 0.3242, 0.5176, 0, -0.8766, 121, 21, 
8, 34, 24, 0.3477, 0.5547, 0, -0.8766, 116, 21, 
8, 34, 25, 0.3711, 0.5918, 0, -0.8766, 41, 16, 
8, 34, 26, 0.2773, 0.4434, 0, 0, 18, 13, 
8, 34, 27, 0.3008, 0.4805, 0, 0, 33, 15, 
8, 34, 28, 0.3438, 0.5059, 0, 0, 19, 13, 
8, 34, 29, 0.2773, 0.4434, 0, 0.1252, 26, 14, 
8, 34, 30, 0.3008, 0.4805, 0, 0.1252, 50, 17, 
8, 34, 31, 0.3242, 0.5176, 0, 0.1252, 34, 15, 
8, 34, 32, 0.2773, 0.4434, 0, 0.2504, 21, 13, 
8, 34, 33, 0.2832, 0.4902, 0, 0.2504, 44, 17, 
8, 34, 34, 0.5352, 0.2949, 0, 0.2504, 34, 15, 
9, 52, 1, 0.4961, 1.0195, 0, 0.1252, 186, 23, 
9, 52, 2, 0.5156, 1.0586, 0, 0.1252, 343, 25, 
9, 52, 3, 0.4961, 1.1172, 0, 0.1252, 227, 24, 
9, 52, 4, 0.4746, 1.1738, 0, 0.1252, 50, 17, 
9, 52, 5, 0.6602, 0.6973, 0, 0.2504, 61, 18, 
9, 52, 6, 0.4766, 0.9805, 0, 0.2504, 83, 19, 
9, 52, 7, 0.4961, 1.0195, 0, 0.2504, 440, 26, 
9, 52, 8, 0.5156, 1.0586, 0, 0.2504, 734, 29, 
9, 52, 9, 0.4961, 1.1172, 0, 0.2504, 463, 27, 
9, 52, 10, 0.5137, 1.1563, 0, 0.2504, 92, 20, 
9, 52, 11, 0.6309, 0.666, 0, 0.3757, 149, 22, 
9, 52, 12, 0.6602, 0.6973, 0, 0.3757, 126, 21, 
9, 52, 13, 0.4434, 0.9961, 0, 0.3757, 53, 17, 
9, 52, 14, 0.4609, 1.0371, 0, 0.3757, 234, 24, 
9, 52, 15, 0.4785, 1.0762, 0, 0.3757, 364, 26, 
9, 52, 16, 0.4961, 1.1172, 0, 0.3757, 219, 23, 
9, 52, 17, 0.6309, 0.666, 0, 0.5009, 117, 21, 
9, 52, 18, 0.6602, 0.6973, 0, 0.5009, 88, 19, 
9, 52, 19, 0.4609, 1.0371, 0, 0.5009, 87, 19, 
9, 52, 20, 0.4785, 1.0762, 0, 0.5009, 210, 23, 
9, 52, 21, 0.4961, 1.1172, 0, 0.5009, 174, 22, 
9, 52, 22, 0.2188, 0.8457, 0, 0.8766, 22, 14, 
