Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 6, 1, 0.7246, 2.4707, 0, 0, 26, 14, 
1, 6, 2, 0.7363, 2.5117, 0, 0, 22, 14, 
1, 6, 3, 0.7246, 2.4707, 0, 0.1252, 50, 17, 
1, 6, 4, 0.7363, 2.5117, 0, 0.1252, 41, 16, 
1, 6, 5, 0.377, 0.3633, 0, 0.6261, 23, 14, 
1, 6, 6, 0.4258, 0.375, 0, 0.6261, 16, 12, 
2, 8, 1, 0.3223, 2.5547, 0, 0.2504, 32, 15, 
2, 8, 2, 0.4082, 2.5859, 0, 0.2504, 31, 15, 
2, 8, 3, 0.2129, 0.4785, 0, -0.8766, 20, 13, 
2, 8, 4, 0.248, 0.5098, 0, -0.8766, 17, 13, 
2, 8, 5, 1.5293, 2.0703, 0, 0.2504, 28, 15, 
2, 8, 6, 1.6367, 2.043, 0, 0.2504, 29, 15, 
2, 8, 7, 0.4082, 0.3262, 0, -0.8766, 18, 13, 
2, 8, 8, 0.4434, 0.3535, 0, -0.8766, 15, 12, 
3, 4, 1, 0.3281, 0.4082, 0, 0.7513, 18, 13, 
3, 4, 2, 0.3906, 0.4121, 0, 0.7513, 20, 13, 
3, 4, 3, -0.4414, 0.2813, 0, 0.7513, 17, 13, 
3, 4, 4, -0.4785, 0.3047, 0, 0.7513, 16, 12, 
4, 18, 1, 0.3926, 0.5781, 0, 0.5009, 26, 14, 
4, 18, 2, 0.418, 0.6133, 0, 0.5009, 27, 14, 
4, 18, 3, 0.3711, 0.5918, 0, 0.6261, 22, 14, 
4, 18, 4, -2.4141, 0.8965, 0, -0.7513, 44, 17, 
4, 18, 5, -2.4551, 0.9102, 0, -0.7513, 60, 18, 
4, 18, 6, -2.4941, 0.9258, 0, -0.7513, 29, 15, 
4, 18, 7, -2.4941, 0.6387, 0, -0.6261, 79, 19, 
4, 18, 8, -2.5352, 0.6484, 0, -0.6261, 101, 20, 
4, 18, 9, 0.832, 2.5273, 0, -0.6261, 50, 17, 
4, 18, 10, -2.4141, 0.8965, 0, -0.5009, 72, 19, 
4, 18, 11, -2.4551, 0.9102, 0, -0.5009, 90, 20, 
4, 18, 12, 0.832, 2.5273, 0, -0.5009, 49, 17, 
4, 18, 13, -0.084, 2.6602, 0, -0.7513, 24, 14, 
4, 18, 14, 0.8184, 2.4863, 0, -0.6261, 83, 19, 
4, 18, 15, -2.5781, 0.6602, 0, -0.6261, 47, 17, 
4, 18, 16, 0.7246, 2.4707, 0, -0.5009, 51, 17, 
4, 18, 17, 0.8184, 2.4863, 0, -0.5009, 81, 19, 
4, 18, 18, -0.166, 2.6563, 0, -0.5009, 47, 17, 
5, 50, 1, 0.5938, 0.2773, 0, 0.5009, 75, 19, 
5, 50, 2, 0.6328, 0.2949, 0, 0.5009, 292, 25, 
5, 50, 3, 0.6719, 0.3145, 0, 0.5009, 383, 26, 
5, 50, 4, 0.7109, 0.332, 0, 0.5009, 189, 23, 
5, 50, 5, 0.7773, 0.2891, 0, 0.5009, 29, 15, 
5, 50, 6, 0.5938, 0.2773, 0, 0.6261, 94, 20, 
5, 50, 7, 0.6328, 0.2949, 0, 0.6261, 355, 26, 
5, 50, 8, 0.6719, 0.3145, 0, 0.6261, 485, 27, 
5, 50, 9, 0.7109, 0.332, 0, 0.6261, 270, 24, 
5, 50, 10, 0.752, 0.3496, 0, 0.6261, 52, 17, 
5, 50, 11, 0.5938, 0.2773, 0, 0.7513, 34, 15, 
5, 50, 12, 0.6543, 0.2422, 0, 0.7513, 171, 22, 
5, 50, 13, 0.6953, 0.2578, 0, 0.7513, 285, 25, 
5, 50, 14, 0.7109, 0.332, 0, 0.7513, 182, 23, 
5, 50, 15, 0.752, 0.3496, 0, 0.7513, 39, 16, 
5, 50, 16, 0.6133, 0.2285, 0, 0.8766, 60, 18, 
5, 50, 17, 0.6543, 0.2422, 0, 0.8766, 230, 24, 
5, 50, 18, 0.6953, 0.2578, 0, 0.8766, 284, 25, 
5, 50, 19, 0.7363, 0.2734, 0, 0.8766, 129, 21, 
5, 50, 20, 0.8027, 0.2051, 0, 0.8766, 19, 13, 
5, 50, 21, 1.6094, 2.0098, 0, -0.3757, 66, 18, 
5, 50, 22, 1.5547, 2.1055, 0, -0.3757, 71, 19, 
5, 50, 23, 1.4961, 2.2012, 0, -0.3757, 39, 16, 
5, 50, 24, 1.8184, 1.7598, 0, -0.2504, 57, 18, 
5, 50, 25, 1.7695, 1.8691, 0, -0.2504, 107, 20, 
5, 50, 26, 1.7988, 1.9004, 0, -0.2504, 81, 19, 
5, 50, 27, 0.3223, 2.5547, 0, -0.1252, 75, 19, 
5, 50, 28, 0.3281, 2.5977, 0, -0.1252, 52, 17, 
5, 50, 29, 0.3477, 0.5547, 0, 0.5009, 72, 19, 
5, 50, 30, 0.3711, 0.5918, 0, 0.5009, 273, 24, 
5, 50, 31, 0.3945, 0.6289, 0, 0.5009, 357, 26, 
5, 50, 32, 0.418, 0.666, 0, 0.5009, 178, 23, 
5, 50, 33, 0.4668, 0.6855, 0, 0.5009, 26, 14, 
5, 50, 34, 0.3477, 0.5547, 0, 0.6261, 86, 19, 
5, 50, 35, 0.3711, 0.5918, 0, 0.6261, 313, 25, 
