Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 4, 1, -0.916, 1.5859, 0, 0.1252, 19, 13, 
1, 4, 2, -0.9375, 1.625, 0, 0.1252, 18, 13, 
1, 4, 3, -0.916, 1.5859, 0, -0.1252, 19, 13, 
1, 4, 4, -0.9375, 1.625, 0, -0.1252, 18, 13, 
2, 5, 1, -0.916, 1.5859, 0, 0.1252, 14, 12, 
2, 5, 2, -0.9375, 1.625, 0, 0.1252, 15, 12, 
2, 5, 3, -0.916, 1.5859, 0, -0.1252, 15, 12, 
2, 5, 4, -0.9375, 1.625, 0, -0.1252, 15, 12, 
2, 5, 5, -0.9199, 1.7344, 0, -0.1252, 12, 11, 
3, 5, 1, -0.916, 1.5859, 0, 0.1252, 38, 16, 
3, 5, 2, -0.9375, 1.625, 0, 0.1252, 42, 16, 
3, 5, 3, -0.959, 1.6621, 0, 0.1252, 22, 14, 
3, 5, 4, -0.916, 1.5859, 0, -0.1252, 23, 14, 
3, 5, 5, -0.9375, 1.625, 0, -0.1252, 24, 14, 
4, 20, 1, -0.8594, 1.6191, 0, 0, 14, 12, 
4, 20, 2, -0.8789, 1.6563, 0, 0, 14, 12, 
4, 20, 3, -0.959, 1.6621, 0, 0, 22, 14, 
4, 20, 4, -0.9199, 1.7344, 0, 0, 40, 16, 
4, 20, 5, -0.9414, 1.7734, 0, 0, 29, 15, 
4, 20, 6, -0.916, 1.5859, 0, 0.1252, 50, 17, 
4, 20, 7, -0.9375, 1.625, 0, 0.1252, 47, 17, 
4, 20, 8, -0.959, 1.6621, 0, 0.1252, 19, 13, 
4, 20, 9, -0.9824, 1.7012, 0, 0.1252, 36, 16, 
4, 20, 10, -1.0039, 1.7383, 0, 0.1252, 24, 14, 
4, 20, 11, -0.8008, 1.9824, 0, 0.2504, 19, 13, 
4, 20, 12, -0.8184, 2.0215, 0, 0.2504, 21, 13, 
4, 20, 13, -0.9004, 1.6953, 0, -0.2504, 18, 13, 
4, 20, 14, -0.9199, 1.7344, 0, -0.2504, 38, 16, 
4, 20, 15, -0.9414, 1.7734, 0, -0.2504, 25, 14, 
4, 20, 16, -0.916, 1.5859, 0, -0.1252, 26, 14, 
4, 20, 17, -0.9375, 1.625, 0, -0.1252, 24, 14, 
4, 20, 18, -0.959, 1.6621, 0, -0.1252, 49, 17, 
4, 20, 19, -0.9824, 1.7012, 0, -0.1252, 105, 20, 
4, 20, 20, -1.0039, 1.7383, 0, -0.1252, 71, 19, 
5, 28, 1, -0.916, 1.5859, 0, 0, 16, 12, 
5, 28, 2, -0.9961, 1.5898, 0, 0, 10, 10, 
