Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 1, 1, 0.3926, 1.5215, 0, -0.1252, 15, 12, 
2, 8, 1, -0.1426, 0.5488, 0, 0.1252, 7, 9, 
2, 8, 2, -1.1289, 1.6602, 0, 0.1252, 28, 15, 
2, 8, 3, -1.1543, 1.6953, 0, 0.1252, 32, 15, 
2, 8, 4, -0.1426, 0.5488, 0, -0.1252, 6, 8, 
2, 8, 5, -1.1289, 1.6602, 0, -0.1252, 13, 11, 
2, 8, 6, -1.1543, 1.6953, 0, -0.1252, 15, 12, 
2, 8, 7, 0.0527, 0.5645, 0, 0.1252, 6, 8, 
2, 8, 8, 0.0527, 0.5645, 0, -0.1252, 6, 8, 
3, 10, 1, -0.1602, 0.5449, 0, 0.1252, 7, 9, 
3, 10, 2, -0.1719, 0.5859, 0, 0.1252, 5, 8, 
3, 10, 3, -1.1289, 1.6602, 0, 0.1252, 12, 11, 
3, 10, 4, -1.1543, 1.6953, 0, 0.1252, 13, 11, 
3, 10, 5, -0.1602, 0.5449, 0, -0.1252, 6, 8, 
3, 10, 6, -1.0664, 1.7012, 0, -0.1252, 19, 13, 
3, 10, 7, -1.1543, 1.6953, 0, -0.1252, 21, 13, 
3, 10, 8, 0.0527, 0.5645, 0, 0.1252, 6, 8, 
3, 10, 9, 0.0566, 0.6074, 0, 0.1252, 5, 8, 
3, 10, 10, 0.0527, 0.5645, 0, -0.1252, 5, 8, 
4, 4, 1, -0.1426, 0.5488, 0, -0.1252, 7, 9, 
4, 4, 2, -0.1523, 0.5918, 0, -0.1252, 5, 8, 
4, 4, 3, 0.0527, 0.5645, 0, -0.1252, 7, 9, 
4, 4, 4, -0.4004, 0.4609, 0, -0.1252, 5, 8, 
5, 2, 1, -1.1289, 1.6602, 0, 0.1252, 17, 13, 
5, 2, 2, -1.1543, 1.6953, 0, 0.1252, 16, 12, 
6, 9, 1, -0.1602, 0.5449, 0, 0.1252, 7, 9, 
6, 9, 2, -0.4004, 0.4609, 0, 0.1252, 6, 8, 
6, 9, 3, -1.0664, 1.7012, 0, 0.1252, 12, 11, 
6, 9, 4, -1.1543, 1.6953, 0, 0.1252, 13, 11, 
6, 9, 5, 0.0703, 0.5625, 0, -0.1252, 8, 10, 
6, 9, 6, -1.1914, 1.6152, 0, -0.1252, 23, 14, 
6, 9, 7, -0.373, 0.4277, 0, 0.1252, 7, 9, 
6, 9, 8, -0.1719, 0.5859, 0, 0.1252, 5, 8, 
6, 9, 9, -0.1426, 0.5488, 0, -0.1252, 7, 9, 
7, 18, 1, -1.0664, 1.7012, 0, 0, 24, 14, 
7, 18, 2, -1.0898, 1.7363, 0, 0, 24, 14, 
7, 18, 3, -1.1133, 1.7734, 0, 0, 10, 10, 
7, 18, 4, -1.2031, 1.7676, 0, 0, 11, 11, 
7, 18, 5, 0.0527, 0.5645, 0, 0.1252, 6, 8, 
7, 18, 6, -1.0664, 1.7012, 0, 0.1252, 18, 13, 
7, 18, 7, -1.0898, 1.7363, 0, 0.1252, 20, 13, 
7, 18, 8, -1.0469, 1.8145, 0, 0.1252, 12, 11, 
7, 18, 9, -1.0664, 1.7012, 0, -0.2504, 22, 14, 
7, 18, 10, -1.0254, 1.7754, 0, -0.2504, 22, 14, 
7, 18, 11, -0.1426, 0.5488, 0, -0.1252, 6, 8, 
7, 18, 12, -1.1035, 1.623, 0, -0.1252, 21, 13, 
7, 18, 13, -1.1289, 1.6602, 0, -0.1252, 59, 18, 
7, 18, 14, -1.0898, 1.7363, 0, -0.1252, 61, 18, 
7, 18, 15, -1.1133, 1.7734, 0, -0.1252, 30, 15, 
7, 18, 16, -1.2031, 1.7676, 0, -0.1252, 26, 14, 
7, 18, 17, -0.1602, 0.5449, 0, 0.1252, 5, 8, 
7, 18, 18, 0.0527, 0.5645, 0, -0.1252, 6, 8, 
8, 12, 1, -1.0664, 1.7012, 0, 0, 19, 13, 
8, 12, 2, -1.0254, 1.7754, 0, 0, 14, 12, 
8, 12, 3, -0.1602, 0.5449, 0, 0.1252, 7, 9, 
8, 12, 4, -1.0664, 1.7012, 0, 0.1252, 13, 11, 
8, 12, 5, -1.2695, 1.7207, 0, 0.1252, 11, 11, 
8, 12, 6, -1.0039, 1.7383, 0, -0.2504, 17, 13, 
