Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 4, 1, -0.4492, 0.168, 0, 0, 12, 11, 
1, 4, 2, -0.4219, 0.1074, 0, -0.1252, 21, 13, 
1, 4, 3, -0.4648, 0.1191, 0, -0.1252, 31, 15, 
1, 4, 4, -0.4902, 0.1816, 0, -0.1252, 15, 12, 
2, 7, 1, -0.4082, 0.1523, 0, 0, 10, 10, 
2, 7, 2, -0.4492, 0.168, 0, 0, 13, 11, 
2, 7, 3, -0.4082, 0.1523, 0, -0.1252, 29, 15, 
2, 7, 4, -0.4648, 0.1191, 0, -0.1252, 39, 16, 
2, 7, 5, -0.5234, 0, 0, -0.1252, 18, 13, 
2, 7, 6, -0.2324, 0.3691, 0, 0, 8, 10, 
2, 7, 7, -0.2324, 0.3691, 0, -0.1252, 24, 14, 
3, 1, 1, -0.4648, 0.1191, 0, -0.1252, 21, 13, 
4, 3, 1, -0.2559, 0.4063, 0, 0.1252, 15, 12, 
4, 3, 2, -0.5723, 0.2129, 0, 0.1252, 13, 11, 
4, 3, 3, -0.4492, 0.168, 0, 0.1252, 13, 11, 
5, 19, 1, -0.4746, 0.2207, 0, 0, 14, 12, 
5, 19, 2, -0.4961, 0.2754, 0, 0, 18, 13, 
5, 19, 3, -0.5352, 0.2949, 0, 0, 19, 13, 
5, 19, 4, -0.5723, 0.3164, 0, 0, 11, 11, 
5, 19, 5, -0.4746, 0.2207, 0, 0.1252, 21, 13, 
5, 19, 6, -0.5137, 0.2402, 0, 0.1252, 39, 16, 
5, 19, 7, -0.5527, 0.2578, 0, 0.1252, 40, 16, 
5, 19, 8, -0.5723, 0.3164, 0, 0.1252, 23, 14, 
5, 19, 9, -0.3945, 0.1836, 0, 0.2504, 29, 15, 
5, 19, 10, -0.4199, 0.2324, 0, 0.2504, 46, 17, 
5, 19, 11, -0.459, 0.2539, 0, 0.2504, 31, 15, 
5, 19, 12, -0.5312, 0.1973, 0, 0.2504, 34, 15, 
5, 19, 13, -0.5723, 0.2129, 0, 0.2504, 29, 15, 
5, 19, 14, -0.4082, 0.1523, 0, 0.3757, 18, 13, 
5, 19, 15, -0.4492, 0.168, 0, 0.3757, 30, 15, 
5, 19, 16, -0.4746, 0.2207, 0, 0.3757, 22, 14, 
5, 19, 17, -0.5488, 0.1406, 0, 0.3757, 16, 12, 
5, 19, 18, -0.2187, 0.377, 0, 0.2504, 25, 14, 
5, 19, 19, -0.2187, 0.377, 0, 0.3757, 14, 12, 
6, 25, 1, -0.2402, 0.416, 0, 0.2504, 38, 16, 
6, 25, 2, -0.2617, 0.4531, 0, 0.2504, 48, 17, 
6, 25, 3, 0.4785, 0.3047, 0, 0.2504, 25, 14, 
6, 25, 4, -0.2402, 0.416, 0, 0.3757, 86, 19, 
6, 25, 5, -0.2617, 0.4531, 0, 0.3757, 106, 20, 
6, 25, 6, -0.4961, 0.2754, 0, 0.3757, 52, 17, 
6, 25, 7, -0.5156, 0.3281, 0, 0.3757, 30, 15, 
