Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 4, 1, -0.0937, 3.0098, 0, -0.2504, 7, 9, 
1, 4, 2, -0.1875, 3.0039, 0, -0.1252, 16, 12, 
1, 4, 3, -0.1914, 3.0488, 0, -0.1252, 12, 11, 
1, 4, 4, -1.1289, 2.791, 0, -0.2504, 5, 8, 
2, 2, 1, 0, 5.498, 0, 0.2504, 9, 10, 
2, 2, 2, 0.1738, 5.5391, 0, 0.2504, 13, 11, 
3, 6, 1, 0.3379, 5.3984, 0, 0.1252, 11, 11, 
3, 6, 2, 0.3418, 5.4434, 0, 0.1252, 22, 14, 
3, 6, 3, 0.3438, 5.4863, 0, 0.1252, 19, 13, 
3, 6, 4, 0.3379, 5.3984, 0, 0.2504, 11, 11, 
3, 6, 5, 0.3418, 5.4434, 0, 0.2504, 19, 13, 
3, 6, 6, 0.3438, 5.4863, 0, 0.2504, 13, 11, 
4, 4, 1, 0.5117, 5.4297, 0, 0.1252, 10, 10, 
4, 4, 2, 0.5156, 5.4727, 0, 0.1252, 14, 12, 
4, 4, 3, 0.3438, 5.4863, 0, 0.2504, 12, 11, 
4, 4, 4, 0.3457, 5.5293, 0, 0.2504, 10, 10, 
5, 5, 1, 2.5488, 2.9297, 0, -0.2504, 15, 12, 
5, 5, 2, 2.5762, 2.9629, 0, -0.2504, 12, 11, 
5, 5, 3, 0.5117, 5.4297, 0, -0.1252, 11, 11, 
5, 5, 4, 0.5195, 5.5156, 0, -0.1252, 8, 10, 
5, 5, 5, 0.2461, 3.918, 0, -0.2504, 9, 10, 
6, 1, 1, 0.3496, 5.5742, 0, -0.1252, 13, 11, 
7, 2, 1, 0.6816, 5.4102, 0, 0.1252, 10, 10, 
7, 2, 2, -1.1934, 5.3223, 0, 0.1252, 8, 10, 
8, 4, 1, 0.4043, 3.2031, 0, -0.3757, 14, 12, 
8, 4, 2, 0.5117, 3.2324, 0, -0.3757, 13, 11, 
8, 4, 3, 0.4043, 3.2031, 0, -0.2504, 15, 12, 
8, 4, 4, 0.4082, 3.2461, 0, -0.2504, 15, 12, 
9, 5, 1, 0.5156, 5.4727, 0, 0.1252, 18, 13, 
9, 5, 2, 0.5195, 5.5156, 0, 0.1252, 21, 13, 
9, 5, 3, 0.3496, 5.5742, 0, 0.1252, 15, 12, 
9, 5, 4, 0.3438, 5.4863, 0, 0.2504, 11, 11, 
9, 5, 5, 0.3457, 5.5293, 0, 0.2504, 12, 11, 
10, 8, 1, -0.0742, 0.7813, 0, -0.3757, 8, 10, 
10, 8, 2, -0.2871, 3.041, 0, -0.3757, 13, 11, 
10, 8, 3, -0.291, 3.084, 0, -0.3757, 12, 11, 
10, 8, 4, 0.1289, 0.8184, 0, -0.2504, 11, 11, 
10, 8, 5, 0.1367, 0.8613, 0, -0.2504, 9, 10, 
10, 8, 6, -0.2871, 3.041, 0, -0.2504, 14, 12, 
10, 8, 7, -0.291, 3.084, 0, -0.2504, 12, 11, 
10, 8, 8, -0.3672, 0.6934, 0, -0.3757, 6, 8, 
11, 15, 1, -0.0977, 0.7793, 0, 0.2504, 10, 10, 
