Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 4, 1, -1.043, 1.6641, 0, 0.1252, 12, 11, 
1, 4, 2, -1.0664, 1.7012, 0, 0.1252, 13, 11, 
1, 4, 3, -1.043, 1.6641, 0, -0.1252, 11, 11, 
1, 4, 4, -1.0664, 1.7012, 0, -0.1252, 12, 11, 
2, 18, 1, -1.0039, 1.7383, 0, 0, 12, 11, 
2, 18, 2, -0.9824, 1.8496, 0, 0, 13, 11, 
2, 18, 3, -1.002, 1.8887, 0, 0, 18, 13, 
2, 18, 4, -1.043, 1.6641, 0, 0.1252, 35, 16, 
2, 18, 5, -1.0664, 1.7012, 0, 0.1252, 46, 17, 
2, 18, 6, -1.0469, 1.8145, 0, 0.1252, 41, 16, 
2, 18, 7, -1.0684, 1.8516, 0, 0.1252, 50, 17, 
2, 18, 8, -1.0898, 1.8887, 0, 0.1252, 21, 13, 
2, 18, 9, -0.9824, 1.7012, 0, -0.2504, 16, 12, 
2, 18, 10, -1.0039, 1.7383, 0, -0.2504, 21, 13, 
2, 18, 11, -0.9824, 1.8496, 0, -0.2504, 19, 13, 
2, 18, 12, -1.002, 1.8887, 0, -0.2504, 25, 14, 
2, 18, 13, -1.043, 1.6641, 0, -0.1252, 51, 17, 
2, 18, 14, -1.0664, 1.7012, 0, -0.1252, 67, 18, 
2, 18, 15, -1.0898, 1.7363, 0, -0.1252, 24, 14, 
2, 18, 16, -1.0469, 1.8145, 0, -0.1252, 61, 18, 
2, 18, 17, -1.0684, 1.8516, 0, -0.1252, 79, 19, 
2, 18, 18, -1.0898, 1.8887, 0, -0.1252, 38, 16, 
3, 26, 1, -1.0195, 1.627, 0, 0, 14, 12, 
3, 26, 2, -1.043, 1.6641, 0, 0, 38, 16, 
3, 26, 3, -1.0664, 1.7012, 0, 0, 39, 16, 
3, 26, 4, -1.0254, 1.7754, 0, 0, 27, 14, 
3, 26, 5, -0.9824, 1.8496, 0, 0, 41, 16, 
3, 26, 6, -1.002, 1.8887, 0, 0, 44, 17, 
3, 26, 7, -1.043, 1.6641, 0, 0.1252, 37, 16, 
3, 26, 8, -1.0664, 1.7012, 0, 0.1252, 43, 16, 
3, 26, 9, -1.0254, 1.7754, 0, 0.1252, 40, 16, 
3, 26, 10, -1.0469, 1.8145, 0, 0.1252, 71, 19, 
3, 26, 11, -1.0684, 1.8516, 0, 0.1252, 70, 19, 
3, 26, 12, -1.0898, 1.8887, 0, 0.1252, 26, 14, 
3, 26, 13, -0.959, 1.6621, 0, -0.2504, 18, 13, 
3, 26, 14, -0.9824, 1.7012, 0, -0.2504, 46, 17, 
3, 26, 15, -1.0039, 1.7383, 0, -0.2504, 46, 17, 
3, 26, 16, -1.0254, 1.7754, 0, -0.2504, 32, 15, 
3, 26, 17, -0.9824, 1.8496, 0, -0.2504, 50, 17, 
3, 26, 18, -0.9355, 1.9219, 0, -0.2504, 51, 17, 
3, 26, 19, -0.9551, 1.9609, 0, -0.2504, 21, 13, 
3, 26, 20, -1.0195, 1.627, 0, -0.1252, 40, 16, 
3, 26, 21, -1.043, 1.6641, 0, -0.1252, 107, 20, 
3, 26, 22, -1.0664, 1.7012, 0, -0.1252, 115, 21, 
3, 26, 23, -1.0898, 1.7363, 0, -0.1252, 88, 19, 
3, 26, 24, -1.0469, 1.8145, 0, -0.1252, 142, 22, 
3, 26, 25, -1.0684, 1.8516, 0, -0.1252, 146, 22, 
3, 26, 26, -1.0234, 1.9277, 0, -0.1252, 57, 18, 
4, 22, 1, -0.9824, 1.7012, 0, 0, 12, 11, 
4, 22, 2, -1.0039, 1.7383, 0, 0, 18, 13, 
4, 22, 3, -1.0254, 1.7754, 0, 0, 14, 12, 
4, 22, 4, -1.0469, 1.8145, 0, 0, 16, 12, 
4, 22, 5, -1.002, 1.8887, 0, 0, 16, 12, 
4, 22, 6, -1.043, 1.6641, 0, 0.1252, 38, 16, 
4, 22, 7, -1.0664, 1.7012, 0, 0.1252, 50, 17, 
4, 22, 8, -1.0254, 1.7754, 0, 0.1252, 43, 16, 
4, 22, 9, -1.0469, 1.8145, 0, 0.1252, 56, 18, 
4, 22, 10, -1.0684, 1.8516, 0, 0.1252, 51, 17, 
4, 22, 11, -1.0234, 1.9277, 0, 0.1252, 21, 13, 
4, 22, 12, -0.9199, 1.7344, 0, -0.2504, 21, 13, 
4, 22, 13, -0.9414, 1.7734, 0, -0.2504, 29, 15, 
4, 22, 14, -0.9609, 1.8105, 0, -0.2504, 24, 14, 
4, 22, 15, -0.9824, 1.8496, 0, -0.2504, 27, 14, 
4, 22, 16, -0.9355, 1.9219, 0, -0.2504, 24, 14, 
4, 22, 17, -1.043, 1.6641, 0, -0.1252, 60, 18, 
4, 22, 18, -1.0664, 1.7012, 0, -0.1252, 82, 19, 
4, 22, 19, -1.0254, 1.7754, 0, -0.1252, 67, 18, 
4, 22, 20, -1.0469, 1.8145, 0, -0.1252, 85, 19, 
4, 22, 21, -1.0684, 1.8516, 0, -0.1252, 78, 19, 
4, 22, 22, -1.0234, 1.9277, 0, -0.1252, 33, 15, 
5, 10, 1, -1.0195, 1.627, 0, 0.1252, 13, 11, 
5, 10, 2, -1.043, 1.6641, 0, 0.1252, 35, 16, 
5, 10, 3, -1.0664, 1.7012, 0, 0.1252, 40, 16, 
5, 10, 4, -1.0898, 1.7363, 0, 0.1252, 17, 13, 
5, 10, 5, -1.0195, 1.627, 0, -0.1252, 11, 11, 
5, 10, 6, -1.043, 1.6641, 0, -0.1252, 32, 15, 
5, 10, 7, -1.0664, 1.7012, 0, -0.1252, 37, 16, 
5, 10, 8, -1.0898, 1.7363, 0, -0.1252, 14, 12, 
5, 10, 9, -0.9824, 1.8496, 0, -0.1252, 9, 10, 
5, 10, 10, -1.002, 1.8887, 0, -0.1252, 13, 11, 
6, 8, 1, -1.043, 1.6641, 0, 0.1252, 19, 13, 
6, 8, 2, -1.0664, 1.7012, 0, 0.1252, 23, 14, 
6, 8, 3, -0.9824, 1.8496, 0, 0.1252, 24, 14, 
6, 8, 4, -1.002, 1.8887, 0, 0.1252, 24, 14, 
6, 8, 5, -1.043, 1.6641, 0, -0.1252, 20, 13, 
6, 8, 6, -1.0664, 1.7012, 0, -0.1252, 23, 14, 
6, 8, 7, -1.0469, 1.8145, 0, -0.1252, 19, 13, 
6, 8, 8, -1.0684, 1.8516, 0, -0.1252, 20, 13, 
7, 7, 1, -1.0254, 1.7754, 0, 0.1252, 12, 11, 
7, 7, 2, -1.0469, 1.8145, 0, 0.1252, 33, 15, 
7, 7, 3, -1.002, 1.8887, 0, 0.1252, 31, 15, 
7, 7, 4, -1.0234, 1.9277, 0, 0.1252, 11, 11, 
7, 7, 5, -1.0254, 1.7754, 0, -0.1252, 10, 10, 
7, 7, 6, -1.0469, 1.8145, 0, -0.1252, 27, 14, 
7, 7, 7, -1.002, 1.8887, 0, -0.1252, 25, 14, 
8, 10, 1, -1.043, 1.6641, 0, 0.1252, 21, 13, 
8, 10, 2, -1.0664, 1.7012, 0, 0.1252, 30, 15, 
8, 10, 3, -1.0254, 1.7754, 0, 0.1252, 20, 13, 
8, 10, 4, -1.0469, 1.8145, 0, 0.1252, 16, 12, 
8, 10, 5, -1.002, 1.8887, 0, 0.1252, 13, 11, 
8, 10, 6, -1.043, 1.6641, 0, -0.1252, 15, 12, 
8, 10, 7, -1.0664, 1.7012, 0, -0.1252, 24, 14, 
8, 10, 8, -1.0254, 1.7754, 0, -0.1252, 19, 13, 
8, 10, 9, -1.0469, 1.8145, 0, -0.1252, 17, 13, 
8, 10, 10, -1.0684, 1.8516, 0, -0.1252, 12, 11, 
9, 10, 1, -0.9824, 1.7012, 0, 0.1252, 25, 14, 
9, 10, 2, -1.0039, 1.7383, 0, 0.1252, 40, 16, 
9, 10, 3, -1.0254, 1.7754, 0, 0.1252, 32, 15, 
9, 10, 4, -1.0469, 1.8145, 0, 0.1252, 30, 15, 
9, 10, 5, -1.002, 1.8887, 0, 0.1252, 22, 14, 
9, 10, 6, -0.9824, 1.7012, 0, -0.1252, 22, 14, 
9, 10, 7, -1.0039, 1.7383, 0, -0.1252, 32, 15, 
9, 10, 8, -1.0254, 1.7754, 0, -0.1252, 25, 14, 
9, 10, 9, -1.0469, 1.8145, 0, -0.1252, 26, 14, 
9, 10, 10, -1.002, 1.8887, 0, -0.1252, 20, 13, 
10, 16, 1, -0.9824, 1.8496, 0, 0, 12, 11, 
10, 16, 2, -1.002, 1.8887, 0, 0, 10, 10, 
10, 16, 3, -1.043, 1.6641, 0, 0.1252, 11, 11, 
10, 16, 4, -1.0664, 1.7012, 0, 0.1252, 15, 12, 
10, 16, 5, -1.0254, 1.7754, 0, 0.1252, 13, 11, 
10, 16, 6, -0.9824, 1.8496, 0, 0.1252, 17, 13, 
10, 16, 7, -1.002, 1.8887, 0, 0.1252, 16, 12, 
10, 16, 8, -0.916, 1.8828, 0, -0.2504, 13, 11, 
10, 16, 9, -0.9355, 1.9219, 0, -0.2504, 12, 11, 
10, 16, 10, -0.9824, 1.7012, 0, -0.1252, 17, 13, 
10, 16, 11, -1.0039, 1.7383, 0, -0.1252, 20, 13, 
10, 16, 12, -1.0254, 1.7754, 0, -0.1252, 23, 14, 
10, 16, 13, -0.9824, 1.8496, 0, -0.1252, 38, 16, 
10, 16, 14, -1.002, 1.8887, 0, -0.1252, 35, 16, 
10, 16, 15, -0.9902, 2.7031, 0, -0.1252, 17, 13, 
10, 16, 16, -1.9805, 2.0918, 0, -0.1252, 13, 11, 
11, 23, 1, -0.959, 1.6621, 0, 0, 20, 13, 
11, 23, 2, -0.9824, 1.7012, 0, 0, 51, 17, 
11, 23, 3, -1.0039, 1.7383, 0, 0, 49, 17, 
11, 23, 4, -0.9609, 1.8105, 0, 0, 16, 12, 
11, 23, 5, -1.1348, 1.8105, 0, 0, 18, 13, 
11, 23, 6, -0.959, 1.6621, 0, 0.1252, 20, 13, 
11, 23, 7, -0.9824, 1.7012, 0, 0.1252, 58, 18, 
11, 23, 8, -1.0039, 1.7383, 0, 0.1252, 60, 18, 
11, 23, 9, -1.0254, 1.7754, 0, 0.1252, 25, 14, 
11, 23, 10, -1.0469, 1.8145, 0, 0.1252, 20, 13, 
11, 23, 11, -1.0684, 1.8516, 0, 0.1252, 26, 14, 
11, 23, 12, -0.9004, 1.6953, 0, -0.2504, 18, 13, 
11, 23, 13, -0.9199, 1.7344, 0, -0.2504, 50, 17, 
11, 23, 14, -0.9414, 1.7734, 0, -0.2504, 51, 17, 
11, 23, 15, -0.9609, 1.8105, 0, -0.2504, 18, 13, 
11, 23, 16, -1.002, 1.8887, 0, -0.2504, 20, 13, 
11, 23, 17, -0.959, 1.6621, 0, -0.1252, 53, 17, 
11, 23, 18, -0.9824, 1.7012, 0, -0.1252, 145, 22, 
11, 23, 19, -1.0039, 1.7383, 0, -0.1252, 143, 22, 
11, 23, 20, -1.0254, 1.7754, 0, -0.1252, 52, 17, 
11, 23, 21, -1.1133, 1.7734, 0, -0.1252, 31, 15, 
11, 23, 22, -1.1348, 1.8105, 0, -0.1252, 56, 18, 
11, 23, 23, -1.0898, 1.8887, 0, -0.1252, 34, 15, 
12, 23, 1, -0.959, 1.6621, 0, 0, 17, 13, 
12, 23, 2, -0.9824, 1.7012, 0, 0, 43, 16, 
12, 23, 3, -1.0664, 1.7012, 0, 0, 39, 16, 
12, 23, 4, -0.9609, 1.8105, 0, 0, 39, 16, 
12, 23, 5, -0.9824, 1.8496, 0, 0, 61, 18, 
12, 23, 6, -1.002, 1.8887, 0, 0, 41, 16, 
12, 23, 7, -1.043, 1.6641, 0, 0.1252, 35, 16, 
12, 23, 8, -1.0664, 1.7012, 0, 0.1252, 34, 15, 
12, 23, 9, -1.0898, 1.7363, 0, 0.1252, 22, 14, 
12, 23, 10, -1.0469, 1.8145, 0, 0.1252, 30, 15, 
12, 23, 11, -1.0801, 2.6699, 0, 0.1252, 24, 14, 
12, 23, 12, -1.0957, 2.709, 0, 0.1252, 20, 13, 
12, 23, 13, -0.9824, 1.7012, 0, -0.2504, 40, 16, 
12, 23, 14, -1.0039, 1.7383, 0, -0.2504, 36, 16, 
12, 23, 15, -0.8965, 1.8438, 0, -0.2504, 33, 15, 
12, 23, 16, -0.916, 1.8828, 0, -0.2504, 53, 17, 
12, 23, 17, -0.9355, 1.9219, 0, -0.2504, 34, 15, 
12, 23, 18, -1.0195, 1.627, 0, -0.1252, 42, 16, 
12, 23, 19, -1.043, 1.6641, 0, -0.1252, 110, 20, 
12, 23, 20, -1.0664, 1.7012, 0, -0.1252, 100, 20, 
12, 23, 21, -1.0254, 1.7754, 0, -0.1252, 86, 19, 
12, 23, 22, -1.0469, 1.8145, 0, -0.1252, 129, 21, 
12, 23, 23, -1.002, 1.8887, 0, -0.1252, 75, 19, 
13, 40, 1, -0.959, 1.6621, 0, 0, 29, 15, 
13, 40, 2, -0.9824, 1.7012, 0, 0, 63, 18, 
13, 40, 3, -1.0039, 1.7383, 0, 0, 35, 16, 
13, 40, 4, -0.9609, 1.8105, 0, 0, 75, 19, 
13, 40, 5, -0.9824, 1.8496, 0, 0, 125, 21, 
13, 40, 6, -0.9355, 1.9219, 0, 0, 55, 17, 
13, 40, 7, -0.9004, 2.7344, 0, 0, 48, 17, 
13, 40, 8, -0.9824, 1.7012, 0, 0.1252, 24, 14, 
13, 40, 9, -1.0039, 1.7383, 0, 0.1252, 25, 14, 
13, 40, 10, -1.0898, 1.7363, 0, 0.1252, 28, 15, 
13, 40, 11, -1.0469, 1.8145, 0, 0.1252, 39, 16, 
13, 40, 12, -1.0684, 1.8516, 0, 0.1252, 27, 14, 
13, 40, 13, -1.0625, 2.6289, 0, 0.1252, 17, 13, 
13, 40, 14, -1.0801, 2.6699, 0, 0.1252, 31, 15, 
13, 40, 15, -1.0957, 2.709, 0, 0.1252, 21, 13, 
13, 40, 16, -1.1348, 1.8105, 0, -0.7513, 11, 11, 
13, 40, 17, -1.1582, 1.8477, 0, -0.7513, 26, 14, 
13, 40, 18, -1.1816, 1.8848, 0, -0.7513, 23, 14, 
13, 40, 19, -1.2695, 1.7207, 0, -0.6261, 10, 10, 
13, 40, 20, -1.2949, 1.7559, 0, -0.6261, 27, 14, 
13, 40, 21, -1.252, 1.8398, 0, -0.6261, 25, 14, 
13, 40, 22, -0.9199, 1.7344, 0, -0.2504, 53, 17, 
13, 40, 23, -0.9414, 1.7734, 0, -0.2504, 26, 14, 
13, 40, 24, -0.8965, 1.8438, 0, -0.2504, 69, 18, 
13, 40, 25, -0.916, 1.8828, 0, -0.2504, 100, 20, 
13, 40, 26, -1.5371, 1.4863, 0, -0.2504, 39, 16, 
13, 40, 27, -1.8906, 2.1719, 0, -0.2504, 43, 16, 
13, 40, 28, -0.959, 1.6621, 0, -0.1252, 61, 18, 
13, 40, 29, -0.9824, 1.7012, 0, -0.1252, 132, 21, 
13, 40, 30, -1.0039, 1.7383, 0, -0.1252, 79, 19, 
