Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 3, 1, -1.9434, 1.8809, 0, -0.1252, 9, 10, 
1, 3, 2, -1.9746, 1.9102, 0, -0.1252, 14, 12, 
1, 3, 3, -2.0078, 1.9414, 0, -0.1252, 10, 10, 
2, 14, 1, -1.8906, 1.9961, 0, 0, 13, 11, 
2, 14, 2, -2.0078, 1.9414, 0, 0, 14, 12, 
2, 14, 3, -1.9629, 1.7324, 0, 0.1252, 14, 12, 
2, 14, 4, -1.9961, 1.7598, 0, 0.1252, 22, 14, 
2, 14, 5, -2.0293, 1.7891, 0, 0.1252, 19, 13, 
2, 14, 6, -2.0605, 1.8184, 0, 0.1252, 27, 14, 
2, 14, 7, -2.1816, 1.7422, 0, 0.1252, 23, 14, 
2, 14, 8, -1.9746, 1.9102, 0, -0.2504, 11, 11, 
2, 14, 9, -2.0078, 1.9414, 0, -0.2504, 12, 11, 
2, 14, 10, -2.0801, 1.6621, 0, -0.1252, 12, 11, 
2, 14, 11, -2.1133, 1.6895, 0, -0.1252, 16, 12, 
2, 14, 12, -2.1465, 1.7148, 0, -0.1252, 33, 15, 
2, 14, 13, -2.0937, 1.8477, 0, -0.1252, 36, 16, 
2, 14, 14, -2.2148, 1.7695, 0, -0.1252, 14, 12, 
3, 14, 1, -2.0293, 1.7891, 0, 0, 25, 14, 
3, 14, 2, -2.0605, 1.8184, 0, 0, 59, 18, 
3, 14, 3, -2.0937, 1.8477, 0, 0, 52, 17, 
3, 14, 4, -2.127, 1.875, 0, 0, 16, 12, 
3, 14, 5, -2.0605, 1.8184, 0, 0.1252, 13, 11, 
3, 14, 6, -2.1816, 1.7422, 0, 0.1252, 18, 13, 
3, 14, 7, -1.9434, 1.8809, 0, -0.2504, 16, 12, 
3, 14, 8, -1.9746, 1.9102, 0, -0.2504, 42, 16, 
3, 14, 9, -2.0078, 1.9414, 0, -0.2504, 37, 16, 
3, 14, 10, -2.0391, 1.9727, 0, -0.2504, 11, 11, 
3, 14, 11, -2.0293, 1.7891, 0, -0.1252, 40, 16, 
3, 14, 12, -2.0605, 1.8184, 0, -0.1252, 103, 20, 
3, 14, 13, -2.0937, 1.8477, 0, -0.1252, 92, 20, 
3, 14, 14, -2.127, 1.875, 0, -0.1252, 28, 15, 
4, 14, 1, -1.9629, 1.7324, 0, 0, 11, 11, 
4, 14, 2, -1.9961, 1.7598, 0, 0, 18, 13, 
4, 14, 3, -2.0293, 1.7891, 0, 0, 13, 11, 
4, 14, 4, -1.8906, 1.9961, 0, 0, 19, 13, 
4, 14, 5, -1.9199, 2.0273, 0, 0, 17, 13, 
4, 14, 6, -2.0293, 1.7891, 0, 0.1252, 17, 13, 
4, 14, 7, -1.9746, 1.9102, 0, 0.1252, 28, 15, 
4, 14, 8, -2.0078, 1.9414, 0, 0.1252, 27, 14, 
4, 14, 9, -2.0391, 1.9727, 0, 0.1252, 16, 12, 
4, 14, 10, -1.9121, 1.8496, 0, -0.2504, 15, 12, 
4, 14, 11, -1.9629, 1.7324, 0, -0.1252, 24, 14, 
4, 14, 12, -1.9961, 1.7598, 0, -0.1252, 40, 16, 
4, 14, 13, -2.0293, 1.7891, 0, -0.1252, 28, 15, 
4, 14, 14, -2.0078, 3.4766, 0, -0.1252, 25, 14, 
5, 24, 1, -1.9629, 1.7324, 0, 0, 13, 11, 
5, 24, 2, -1.9961, 1.7598, 0, 0, 21, 13, 
5, 24, 3, -2.0293, 1.7891, 0, 0, 24, 14, 
5, 24, 4, -2.0605, 1.8184, 0, 0, 51, 17, 
5, 24, 5, -2.0078, 1.9414, 0, 0, 49, 17, 
5, 24, 6, -2.0391, 1.9727, 0, 0, 16, 12, 
5, 24, 7, -2.0293, 1.7891, 0, 0.1252, 52, 17, 
5, 24, 8, -2.0605, 1.8184, 0, 0.1252, 120, 21, 
5, 24, 9, -2.0078, 1.9414, 0, 0.1252, 112, 21, 
5, 24, 10, -2.0391, 1.9727, 0, 0.1252, 42, 16, 
5, 24, 11, -2.0293, 1.7891, 0, 0.2504, 23, 14, 
5, 24, 12, -2.0605, 1.8184, 0, 0.2504, 56, 18, 
5, 24, 13, -2.0078, 1.9414, 0, 0.2504, 53, 17, 
5, 24, 14, -2.0391, 1.9727, 0, 0.2504, 21, 13, 
5, 24, 15, -1.9629, 1.7324, 0, -0.3757, 21, 13, 
5, 24, 16, -1.9961, 1.7598, 0, -0.3757, 23, 14, 
5, 24, 17, -1.9629, 1.7324, 0, -0.2504, 43, 16, 
5, 24, 18, -1.9961, 1.7598, 0, -0.2504, 64, 18, 
5, 24, 19, -2.0293, 1.7891, 0, -0.2504, 41, 16, 
5, 24, 20, -2.0449, 1.6348, 0, -0.1252, 41, 16, 
5, 24, 21, -2.0801, 1.6621, 0, -0.1252, 61, 18, 
5, 24, 22, -2.1133, 1.6895, 0, -0.1252, 45, 17, 
5, 24, 23, -1.9746, 1.9102, 0, -0.1252, 30, 15, 
5, 24, 24, -1.9199, 2.0273, 0, -0.1252, 23, 14, 
6, 20, 1, -2.1816, 1.7422, 0, 0, 14, 12, 
6, 20, 2, -2.0391, 1.9727, 0, 0, 13, 11, 
6, 20, 3, -2.0703, 2.1855, 0, 0, 15, 12, 
6, 20, 4, -2.2832, 1.4512, 0, 0.1252, 14, 12, 
6, 20, 5, -2.2324, 1.6016, 0, 0.1252, 54, 17, 
6, 20, 6, -2.1816, 1.7422, 0, 0.1252, 67, 18, 
6, 20, 7, -2.0391, 1.9727, 0, 0.1252, 34, 15, 
6, 20, 8, -2.2695, 1.627, 0, 0.2504, 18, 13, 
6, 20, 9, -2.127, 1.875, 0, 0.2504, 11, 11, 
