Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 4, 1, -0.8945, 1.5488, 0, 0.1252, 21, 13, 
1, 4, 2, -0.916, 1.5859, 0, 0.1252, 17, 13, 
1, 4, 3, -0.8945, 1.5488, 0, -0.1252, 17, 13, 
1, 4, 4, -0.9727, 1.5527, 0, -0.1252, 14, 12, 
2, 26, 1, -0.9277, 1.4785, 0, 0, 24, 14, 
2, 26, 2, -0.9512, 1.5156, 0, 0, 37, 16, 
2, 26, 3, -0.916, 1.5859, 0, 0, 28, 15, 
2, 26, 4, -0.8789, 1.6563, 0, 0, 36, 16, 
2, 26, 5, -0.9004, 1.6953, 0, 0, 30, 15, 
2, 26, 6, -0.9277, 1.4785, 0, 0.1252, 35, 16, 
2, 26, 7, -0.9512, 1.5156, 0, 0.1252, 45, 17, 
2, 26, 8, -0.916, 1.5859, 0, 0.1252, 68, 18, 
2, 26, 9, -0.9375, 1.625, 0, 0.1252, 139, 21, 
2, 26, 10, -0.9004, 1.6953, 0, 0.1252, 125, 21, 
2, 26, 11, -0.9199, 1.7344, 0, 0.1252, 32, 15, 
2, 26, 12, -0.9512, 1.5156, 0, 0.2504, 14, 12, 
2, 26, 13, -0.916, 1.5859, 0, 0.2504, 23, 14, 
2, 26, 14, -0.9375, 1.625, 0, 0.2504, 47, 17, 
2, 26, 15, -0.959, 1.6621, 0, 0.2504, 42, 16, 
2, 26, 16, -0.9277, 1.4785, 0, -0.2504, 26, 14, 
2, 26, 17, -0.8945, 1.5488, 0, -0.2504, 36, 16, 
2, 26, 18, -0.8594, 1.6191, 0, -0.2504, 18, 13, 
2, 26, 19, -0.8203, 1.6875, 0, -0.2504, 24, 14, 
2, 26, 20, -0.8398, 1.7266, 0, -0.2504, 23, 14, 
2, 26, 21, -0.9824, 1.4434, 0, -0.1252, 68, 18, 
2, 26, 22, -0.9512, 1.5156, 0, -0.1252, 95, 20, 
2, 26, 23, -0.916, 1.5859, 0, -0.1252, 55, 17, 
2, 26, 24, -0.8789, 1.6563, 0, -0.1252, 80, 19, 
2, 26, 25, -0.9004, 1.6953, 0, -0.1252, 78, 19, 
2, 26, 26, -0.9199, 1.7344, 0, -0.1252, 21, 13, 
3, 26, 1, -0.8516, 1.4727, 0, 0, 67, 18, 
3, 26, 2, -0.873, 1.5117, 0, 0, 208, 23, 
3, 26, 3, -0.8945, 1.5488, 0, 0, 228, 24, 
3, 26, 4, -0.916, 1.5859, 0, 0, 96, 20, 
3, 26, 5, -0.8789, 1.6563, 0, 0, 76, 19, 
3, 26, 6, -0.9004, 1.6953, 0, 0, 80, 19, 
3, 26, 7, -0.9199, 1.7344, 0, 0, 28, 15, 
3, 26, 8, -0.9043, 1.4414, 0, 0.1252, 26, 14, 
3, 26, 9, -0.873, 1.5117, 0, 0.1252, 72, 19, 
3, 26, 10, -0.8945, 1.5488, 0, 0.1252, 72, 19, 
3, 26, 11, -0.9727, 1.5527, 0, 0.1252, 20, 13, 
3, 26, 12, -0.8789, 1.6563, 0, 0.1252, 46, 17, 
3, 26, 13, -0.9004, 1.6953, 0, 0.1252, 34, 15, 
3, 26, 14, -0.7969, 1.5039, 0, -0.2504, 59, 18, 
3, 26, 15, -0.8184, 1.541, 0, -0.2504, 185, 23, 
3, 26, 16, -0.8379, 1.5801, 0, -0.2504, 205, 23, 
3, 26, 17, -0.916, 1.5859, 0, -0.2504, 82, 19, 
3, 26, 18, -0.8203, 1.6875, 0, -0.2504, 46, 17, 
3, 26, 19, -0.8398, 1.7266, 0, -0.2504, 53, 17, 
3, 26, 20, -0.9043, 1.4414, 0, -0.1252, 139, 21, 
3, 26, 21, -0.9277, 1.4785, 0, -0.1252, 425, 26, 
3, 26, 22, -0.9512, 1.5156, 0, -0.1252, 463, 27, 
3, 26, 23, -0.9727, 1.5527, 0, -0.1252, 178, 23, 
3, 26, 24, -0.8789, 1.6563, 0, -0.1252, 100, 20, 
3, 26, 25, -0.9004, 1.6953, 0, -0.1252, 126, 21, 
