Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
1, 8, 1, 0.0781, 0.8262, 0, 0, 79, 19, 
1, 8, 2, -0.6816, 0.5449, 0, 0, 91, 20, 
1, 8, 3, 0.0527, 0.8281, 0, 0.1252, 161, 22, 
1, 8, 4, -0.6816, 0.5449, 0, 0.1252, 190, 23, 
1, 8, 5, -0.6211, 0.5488, 0, 0, 76, 19, 
1, 8, 6, 0.082, 0.8691, 0, 0, 79, 19, 
1, 8, 7, -0.6484, 0.5176, 0, 0.1252, 158, 22, 
1, 8, 8, 0.0547, 0.8711, 0, 0.1252, 164, 22, 
2, 16, 1, -0.4961, 0.3555, 0, 0.2504, 49, 17, 
2, 16, 2, -0.5352, 0.2949, 0, 0.3757, 83, 19, 
2, 16, 3, -0.5937, 0.2773, 0, 0.3757, 42, 16, 
2, 16, 4, -0.502, 0.4844, 0, 0.3757, 74, 19, 
2, 16, 5, -0.5566, 0.4902, 0, 0.3757, 89, 20, 
2, 16, 6, -0.2461, 0.6074, 0, 0.5009, 38, 16, 
2, 16, 7, -0.5234, 0.4609, 0, 0.5009, 140, 21, 
2, 16, 8, -0.5566, 0.4902, 0, 0.5009, 150, 22, 
2, 16, 9, -0.5898, 0.5195, 0, 0.5009, 61, 18, 
2, 16, 10, -0.5117, 0.4082, 0, 0.6261, 32, 15, 
2, 16, 11, -0.5449, 0.4355, 0, 0.6261, 92, 20, 
2, 16, 12, -0.5801, 0.4629, 0, 0.6261, 90, 20, 
2, 16, 13, -0.5898, 0.5195, 0, 0.6261, 32, 15, 
2, 16, 14, -0.2461, 0.6074, 0, 0.3757, 35, 16, 
2, 16, 15, -0.2402, 0.6563, 0, 0.3757, 56, 18, 
2, 16, 16, -0.4707, 0.4551, 0, 0.5009, 29, 15, 
3, 28, 1, 0.0156, 0.5234, 0, 0.1252, 43, 16, 
3, 28, 2, 0.0879, 0.5605, 0, 0.1252, 40, 16, 
3, 28, 3, -0.4766, 0.3809, 0, 0.5009, 60, 18, 
3, 28, 4, -0.5117, 0.4082, 0, 0.5009, 92, 20, 
3, 28, 5, -0.5664, 0.4063, 0, 0.5009, 77, 19, 
3, 28, 6, -0.3242, 0.666, 0, 0.5009, 48, 17, 
3, 28, 7, -0.459, 0.4043, 0, 0.6261, 41, 16, 
3, 28, 8, -0.4902, 0.4336, 0, 0.6261, 86, 19, 
3, 28, 9, -0.5234, 0.4609, 0, 0.6261, 78, 19, 
3, 28, 10, -0.5801, 0.4629, 0, 0.6261, 43, 16, 
3, 28, 11, -0.5898, 0.5195, 0, 0.6261, 55, 17, 
3, 28, 12, -0.4707, 0.4551, 0, 0.7513, 41, 16, 
3, 28, 13, -0.5566, 0.4902, 0, 0.7513, 70, 19, 
3, 28, 14, -0.5898, 0.5195, 0, 0.7513, 133, 21, 
3, 28, 15, -0.6211, 0.5488, 0, 0.7513, 91, 20, 
3, 28, 16, -0.5566, 0.4902, 0, 0.8766, 63, 18, 
3, 28, 17, -0.5898, 0.5195, 0, 0.8766, 102, 20, 
3, 28, 18, -0.6211, 0.5488, 0, 0.8766, 69, 18, 
3, 28, 19, 0.0156, 0.5234, 0, -0.1252, 46, 17, 
3, 28, 20, 0.0879, 0.5605, 0, -0.1252, 44, 17, 
3, 28, 21, 0.1152, 0.5996, 0, -0.1252, 30, 15, 
3, 28, 22, -0.125, 0.5527, 0, 0.1252, 38, 16, 
3, 28, 23, -0.2832, 0.6387, 0, 0.5009, 65, 18, 
3, 28, 24, -0.6035, 0.4316, 0, 0.5009, 48, 17, 
3, 28, 25, -0.2773, 0.6875, 0, 0.6261, 40, 16, 
3, 28, 26, -0.2324, 0.7051, 0, 0.7513, 55, 17, 
3, 28, 27, -0.1426, 0.5488, 0, -0.1252, 38, 16, 
3, 28, 28, -0.1523, 0.5918, 0, -0.1252, 25, 14, 
4, 17, 1, -0.4668, 0.6328, 0, 0.6261, 50, 17, 
4, 17, 2, -0.2734, 0.8281, 0, 0.6261, 33, 15, 
4, 17, 3, -0.4668, 0.6328, 0, 0.7513, 37, 16, 
4, 17, 4, -0.2324, 0.7949, 0, 0.7513, 49, 17, 
4, 17, 5, -0.2461, 0.8379, 0, 0.7513, 57, 18, 
4, 17, 6, 0.2832, 1.0977, 0, -0.2504, 99, 20, 
4, 17, 7, 0.3672, 1.1191, 0, -0.2504, 128, 21, 
4, 17, 8, 0.4199, 1.1465, 0, -0.2504, 107, 20, 
4, 17, 9, -0.1191, 1.2598, 0, -0.2504, 66, 18, 
4, 17, 10, 0.2832, 1.0977, 0, -0.1252, 115, 21, 
4, 17, 11, 0.2949, 1.1406, 0, -0.1252, 127, 21, 
4, 17, 12, -0.6816, 0.5449, 0, 0.6261, 28, 15, 
4, 17, 13, -0.6484, 0.5176, 0, 0.7513, 42, 16, 
4, 17, 14, -0.709, 0.5078, 0, 0.7513, 49, 17, 
4, 17, 15, -0.0742, 1.1758, 0, -0.2504, 105, 20, 
4, 17, 16, -0.0391, 1.2207, 0, -0.2504, 95, 20, 
4, 17, 17, 0.4355, 1.1875, 0, -0.2504, 56, 18, 
5, 9, 1, -0.4199, 0.8633, 0, 0.5009, 42, 16, 
5, 9, 2, -0.4082, 0.916, 0, 0.5009, 61, 18, 
5, 9, 3, -0.459, 0.9414, 0, 0.5009, 72, 19, 
5, 9, 4, -0.7637, 0.4219, 0, 0.6261, 113, 21, 
5, 9, 5, -0.8008, 0.4434, 0, 0.6261, 109, 20, 
5, 9, 6, -0.4199, 0.8633, 0, 0.6261, 55, 17, 
5, 9, 7, -0.4082, 0.916, 0, 0.6261, 86, 19, 
5, 9, 8, -0.459, 0.9414, 0, 0.6261, 103, 20, 
5, 9, 9, -0.8105, 0.5156, 0, 0.6261, 47, 17, 
6, 14, 1, -0.5918, 0.1523, 0, 0, 41, 16, 
